Date,Time(UTC),Lat,Lang,Depth(KM),Magnitude,Region,MainRegion
7/11/2013,16:01:34,30.4,79.1,5,3.2,UKHIMATH(DISTT RUDRAPRAYAG),UTTARAKHAND
7/11/2013,18:48:11,28.8,95.9,10,4,DIBANG VALLEY,ARUNACHAL PRADESH
7/11/2013,19:39:49,33.2,75.7,10,3.9,DODA,JAMMU & KASHMIR
7/9/2013,13:49:13,32.9,78.4,10,5.1,J&K,HIMACHAL PRADESH
7/8/2013,3:44:25,24.1,91.4,10,4.2,WEST TRIPURA,TRIPURA
7/7/2013,15:41:30,26.4,93.3,30,3.5,KARBI ANGLONG (DIPHU SUB DIV.),ASSAM
7/7/2013,18:35:29,-3.9,153.9,372,7.3,NEW IRELAND REGION,PAPUA NEW GUINEA
7/7/2013,20:30:08,-5.9,149.7,75,6.8,PAPUA NEW GUINEA,PAPUA NEW GUINEA
7/6/2013,5:05:05,-3.2,100.6,10,6,SOUTHERN SUMATRA,INDONESIA
7/5/2013,19:58:34,30.6,77.8,9,3,CHAKRATA (DEHRADUN),UTTARAKHAND
7/4/2013,17:15:58,-7,155.5,53,6.1,SOLOMON  ISLANDS,SOLOMON ISLANDS
7/4/2013,23:42:06,25.1,93.8,10,3.8,MANIPUR- SENAPATI,MANIPUR
7/3/2013,7:04:17,36.5,70.5,206,5.1,HINDU KUSH REGION,AFGHANISTAN
7/2/2013,7:37:27,4.7,96.7,30,5.9,NORTHERN SUMATRA,INDONESIA
7/2/2013,13:55:45,4.7,96.8,10,5.3,NORTHERN SUMATRA,INDONESIA
7/2/2013,15:36:46,4.7,97,18,5.2,NORTHERN SUMATRA,INDONESIA
6/30/2013,2:44:21,21.9,74.9,9,3.3,BARWANI,MADHYA PRADESH
6/28/2013,11:40:48,28.7,82.2,10,5,NEPAL,NEPAL
6/27/2013,6:20:57,30.1,80.4,4,3.5,PITHORAGARH,UTTARAKHAND
6/26/2013,5:48:47,9.6,91.2,10,5.2,NICOBAR ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
6/24/2013,22:04:12,10.7,-42.5,22,6.4,NORTHERN MID-ATLANTIC RIDGE,ATLANTIC RIDGE
6/21/2013,20:51:56,36.9,73.3,35,5,HINDURAJ MOUNTAINS,PAKISTAN
6/18/2013,0:57:54,24.1,91.2,15,3.5,BANGLADESH - INDIA (TRIPURA) BORDER REGION,TRIPURA
6/16/2013,0:39:22,27.5,92.4,5,3.7,WEST KAMENG,ARUNACHAL PRADESH
6/16/2013,21:39:07,34.5,25.1,30,6,CRETE,GREECE
6/15/2013,0:10:34,24.5,93.5,20,3.5,CHURACHANDPUR--MANIPUR,MANIPUR
6/15/2013,16:10:59,34.5,25,10,6,CRETE,GREECE
6/15/2013,17:34:32,11.8,-87.1,70,6.2,NEAR COAST OF NICARAGUA,NICARAGUA
6/13/2013,16:47:24,-10,107.3,10,6.7,SOUTH OF JAVA,INDONESIA
6/6/2013,13:03:29,10.9,91.5,20,4.5,ANDAMAN ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
6/5/2013,4:47:26,-11.3,166.3,44,6.1,SOLOMON ISLANDS,SOLOMON ISLANDS
6/5/2013,22:04:00,32.8,76.3,10,4.5,CHAMBA,HIMACHAL PRADESH
6/4/2013,17:34:44,32.7,76.7,10,4.8,LAHUL AND SPITI ,HIMACHAL PRADESH
6/4/2013,23:56:28,32.4,76,30,3.7,DISTT. CHAMBA,HIMACHAL PRADESH
6/3/2013,6:40:45,24.2,91.4,10,3.4,BANGLADESH---INDIA(TRIPURA) BORDER REGION,TRIPURA
6/2/2013,5:43:05,23.9,121.3,10,6.4,TAIWAN,CHINA
6/1/2013,13:28:57,22.1,88.7,28,3.6,SOUTH 24 PARGANAS,WEST BENGAL
5/31/2013,4:52:16,27.4,92.7,18,3.8,WEST KAMENG,ARUNACHAL PRADESH
5/26/2013,5:55:22,26.6,92.2,10,3.2,DARRANG,ASSAM
5/26/2013,6:08:14,40,67.5,10,6.1,SOUTHEASTERN UZBEKISTAN,UZBEKISTAN
5/24/2013,5:44:49,54.9,153.2,620,8.2,SEA OF OKHOTSK,PACIFIC OCEAN
5/24/2013,11:10:50,-24.3,-175,17,6.1,SOUTH OF TONGA ISLANDS,TONGA ISLANDS
5/24/2013,14:56:30,52.2,151.5,617,6.8,SEA OF OKHOTSK,PACIFIC OCEAN
5/23/2013,17:18:49,-23,-177.2,143,7.6,SOUTH OF FIJI ISLANDS,FIJI ISLANDS
5/23/2013,21:07:46,-20.5,-175.6,153,6.5,TONGA ISLANDS REGION,TONGA ISLANDS
5/21/2013,5:43:17,52.5,160,10,6,OFF EAST COAST OF KAMCHATKA,RUSSIA
5/20/2013,17:18:10,36.5,70.5,190,5.3,HINDU KUSH REGION,AFGHANISTAN
5/18/2013,5:47:55,37.7,141.4,10,6.2,NEAR EAST COAST OF HONSHU,JAPAN
5/15/2013,12:05:41,33.3,75.9,15,3.8,KISHTWAR,JAMMU & KASHMIR
5/14/2013,0:32:25,18.8,145.3,595,6.7,NORTHERN MARIANA ISLANDS,MARIANA ISLANDS
5/14/2013,19:58:24,33.2,76.1,10,4.4,J & K - H.P  BORDER REGION,JAMMU & KASHMIR
5/14/2013,20:00:07,33.4,75.8,10,4.8,KISHTWAR,JAMMU & KASHMIR
5/14/2013,20:40:49,24.1,92.3,10,3.8,NORTH TRIPURA,TRIPURA
5/14/2013,21:01:42,33.3,75.9,10,3.8,KISHTWAR,JAMMU & KASHMIR
5/11/2013,20:46:34,-17.8,-175.1,250,6.3,TONGA ISLANDS,TONGA ISLANDS
5/5/2013,4:39:38,33,75.6,12,3.5,BHADARWAH (DODA DISTRICT),JAMMU & KASHMIR
5/3/2013,1:38:15,33.4,75.8,5,3.7,KISHTWAR,JAMMU & KASHMIR
5/2/2013,0:30:09,33.2,75.8,10,3.9,J&K -H.P BORDER REGION,JAMMU & KASHMIR
5/1/2013,6:57:12,33.1,75.8,15,5.8,J&K-H.P BORDER REGION,JAMMU & KASHMIR
5/1/2013,8:42:43,33.1,75.8,10,3.7,J&K-H.P BORDER REGION,JAMMU & KASHMIR
5/1/2013,9:19:49,33.1,75.7,10,4.6,J&K-H.P BORDER REGION,JAMMU & KASHMIR
4/30/2013,9:41:52,33.1,76.1,10,4.1,J&K - H.P. BORDER REGION,JAMMU & KASHMIR
4/29/2013,0:57:05,29,77.2,5,3,SONIPAT,HARYANA
4/28/2013,18:28:13,29.5,81.2,5,4,NEPAL,NEPAL
4/27/2013,2:48:07,27.4,92.5,5,3.6,WEST KAMENG,ARUNACHAL PRADESH
4/27/2013,3:17:09,27.5,92.5,5,4,WEST KAMENG,ARUNACHAL PRADESH
4/27/2013,5:16:53,27.5,92.5,10,4.7,WEST KAMENG,ARUNACHAL PRADESH
4/25/2013,14:55:01,24.7,91.7,10,3.1,INDIA (TRIPURA )--BANGLADESH BORDER,TRIPURA
4/25/2013,14:38:40,29.5,80.4,15,3.2,NEPAL-INDIA (UTTRAKHAND) BORDER REGION,UTTARAKHAND
4/25/2013,14:52:27,32.4,76,5,3,DISTT. CHAMBA,HIMACHAL PRADESH
4/24/2013,9:25:29,34.5,70.2,66,5.7,HINDU KUSH REGION,AFGHANISTAN
4/21/2013,3:22:16,29.9,138.9,422,6.2,IZU ISLANDS,JAPAN
4/21/2013,10:22:11,26.5,93.1,34,3.4,NAGAON,ASSAM
4/20/2013,0:02:48,30.2,103,29,6.6,SICHUAN,CHINA
4/20/2013,13:12:47,50.4,157.3,10,6.1,KURIL ISLANDS,PACIFIC OCEAN
4/20/2013,14:24:58,27.3,88.5,2,3.2,GANGTOK,SIKKIM
4/19/2013,3:05:51,46.2,150.8,97,7.3,KURIL ISLANDS,PACIFIC OCEAN
4/19/2013,19:58:40,50,157.5,10,6.1,KURIL ISLANDS,PACIFIC OCEAN
4/17/2013,3:01:37,33,76.5,10,3.9,CHAMBA,HIMACHAL PRADESH
4/16/2013,1:23:19,26.3,92,16,4.6,ASSAM-DARRANG,ASSAM
4/16/2013,8:34:09,29,95,10,5,INDIA (ARUNACHAL PRADESH) - CHINA BORDER REGION,ARUNACHAL PRADESH
4/16/2013,10:44:11,28,62.1,46,7.8,PAKISTAN-IRAN BORDER REGION,PAKISTAN
4/16/2013,22:55:26,-3.2,142.5,10,6.8,NEAR NORTH COAST OF NEW GUINEA,PAPUA NEW GUINEA
4/14/2013,1:32:24,-6.4,154.5,41,6.5,BOUGAINVILLE REGION,PAPUA NEW GUINEA
4/11/2013,3:47:03,19.3,95.7,12,5.4,MYANMAR,MYANMAR
4/10/2013,20:10:01,29,76.6,10,3.5,ROHTAK,HARYANA
4/9/2013,11:52:55,28.5,51.6,42,6.2,SOUTHERN IRAN,IRAN
4/9/2013,21:46:31,25.6,91.7,5,3.4,WEST KHASI HILLS,MEGHALAYA
4/6/2013,4:42:40,-3.6,138.1,90,7.1,PAPUA INDONESIA,INDONESIA
4/6/2013,22:29:31,30.5,79.1,10,4.3,RUDRAPRAYAG,UTTARAKHAND
4/5/2013,7:34:10,26.7,92.4,10,3.4,SONITPUR,ASSAM
4/5/2013,13:00:02,42.8,131,570,6.3,EASTERN RUSSIA - N.E. CHINA BORDER,RUSSIA
4/5/2013,22:55:00,36.4,71.5,80,5.4,HINDUKUSH REGION,AFGHANISTAN
4/4/2013,6:31:37,36.1,71.6,237,5.8,HINDU KUSH REGION,AFGHANISTAN
4/4/2013,9:51:31,24.7,94.3,50,3.5,UKHRUL,MANIPUR
4/4/2013,15:16:26,19.3,95.7,40,5.4,MYANMAR,MYANMAR
4/3/2013,3:48:02,27.6,92.7,10,3.5,EAST KAMENG,ARUNACHAL PRADESH
4/3/2013,16:35:48,19.3,95.2,10,5.5,MYANMAR,MYANMAR
3/31/2013,14:43:21,27.2,75,5,2.3,NEAR SAMBHAR LAKE,RAJASTHAN
3/30/2013,6:33:56,23.5,70.4,5,4,RANN OF KACHCHH,GUJARAT
3/27/2013,2:03:00,23.9,121.3,20,6.1,TAIWAN,CHINA
3/25/2013,5:05:00,24.3,68.5,10,3.8,PAKISTAN-INDIA (GUJARAT)BORDER REGION,GUJARAT
3/25/2013,16:53:35,26.5,93.5,7,3.2,KARBI ANGLONG ASSAM,ASSAM
3/25/2013,23:02:13,14.6,90.3,200,6,GUATEMALA,CENTRAL AMERICA
3/24/2013,0:17:32,30,80.6,5,2.9,DISTT-PITHURAGARH INDIA-NEPAL BORDER REGION,UTTARAKHAND
3/24/2013,4:18:33,50.7,160.2,10,6.2,EAST OF KURIL ISLAND,PACIFIC OCEAN
3/24/2013,8:13:45,-20.8,173.3,5,6,VANUATU ISLAND,VANUATU
3/20/2013,2:10:27,12.7,93.6,96,4.8,OFF EAST COAST OF MIDDLE ANDMAN,ANDAMAN & NICOBAR ISLANDS
3/12/2013,19:05:50,26.8,92.4,33,3.4,SONNITPUR,ASSAM
3/10/2013,22:51:49,-6.5,148.2,36,6.3,NEW BRITAIN,PAPUA NEW GUINEA
3/6/2013,4:28:32,29.7,80.4,10,3.2,INDIA (UTTRAKHAND) NEPAL BORDER REGION,UTTARAKHAND
3/4/2013,11:39:32,25.5,91.6,20,3.2,EAST KHASI HILLS,MEGHALAYA
3/4/2013,16:05:27,26.1,91.4,5,4.1,DISTT-KAMRUP ASSAM,ASSAM
3/4/2013,20:15:53,25,93,33,3.9,CACHAR,ASSAM
3/2/2013,1:30:40,24.8,92.2,10,5.2,INDIA (KARIMGANJ)BANGALA DESH BORDER REGION,ASSAM
3/1/2013,17:53:49,50.9,157.5,22,6.3,KURIL ISLANDS,PACIFIC OCEAN
3/1/2013,13:20:47,51,157.6,33,6.6,KURIL ISLANDS,PACIFIC OCEAN
2/28/2013,3:09:49,-17.7,167.3,20,6.1,VANUATU ISLANDS,VANUATU
2/28/2013,14:05:51,50.9,157.3,55,6.7,KURIL ISLANDS,PACIFIC OCEAN
2/28/2013,17:32:34,27.1,92.3,10,3.9,WEST KAMENG,ARUNACHAL PRADESH
2/27/2013,12:27:13,25.7,90.6,5,3.6,EAST GARO HILLS,MEGHALAYA
2/26/2013,17:26:35,11.2,75.8,15,3,DISTRICT - KOZHIKODE,KERALA
2/25/2013,2:28:25,30.9,78.4,11,3.1,DISTT. UTTARKASHI,UTTARAKHAND
2/24/2013,0:57:17,26.3,75.6,5,4.1,TONK,RAJASTHAN
2/22/2013,12:01:58),-27.8,-63.1,570,6.1,SANTIAGO DEL ESTERO,ARGENTINA
2/20/2013,5:15:07,20.7,85.1,5,2.9,ANUGUL DIST,ODISHA
2/19/2013,21:05:11,25.4,89.1,10,4.5,BANGLADESH-INDIA(W.B) BORDER REGION,WEST BENGAL
2/18/2013,12:19:17,-30.7,-178.1,33,6.1,KERMADEC ISLANDS,NEW ZEALAND
2/17/2013,01:35:08),36.5,71.7,100,5.2,HINDU KUSH REGION,AFGHANISTAN
2/17/2013,16:27:07,30.9,78.4,10,3.2,UTTARKASHI,UTTARAKHAND
2/16/2013,4:37:40,5.8,125.8,119,6,MINDANAO,PHILLIPPINES
2/14/2013,13:13:53,67.5,142.6,10,6.8,SAKHA,RUSSIA
2/11/2013,10:48:55,31,78.4,5,4.3,UTTARKASHI,UTTARAKHAND
2/11/2013,21:40:26,29.2,95.9,10,4,DIBANG VALLEY,ARUNACHAL PRADESH
2/10/2013,18:39:34,-10.8,165.2,11,6.2,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
2/9/2013,14:16:03,1.1,-77.4,108,6.9,COLOMBIA,COLOMBIA
2/9/2013,21:02:26,-10.9,165.7,30,6.5,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
2/8/2013,11:12:14,-10.8,165.7,10,7,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
2/8/2013,15:26:39,-10.8,166,23,6.9,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
2/7/2013,0:41:37,1.7,98.1,93,5.2,NORTHERN SUMATRA,INDONESIA
2/7/2013,18:59:16,-10.9,165.7,10,6.6,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
2/6/2013,1:12:28,-10.7,165,10,7.9,SANTA CRUZ  ISLANDS,SANTA CRUZ ISLANDS
2/6/2013,5:29:22,15.5,80,5,2.9,DISTT. PRAKASAM(ONGOLE),ANDHRA PRADESH
2/6/2013,6:35:22,-10.8,164.6,10,6.1,SANTA CRUZ  ISLANDS,SANTA CRUZ ISLANDS
2/6/2013,8:22:45,28.8,76.5,5,2.7,DISTT. ROHTAK,HARYANA
2/6/2013,13:54:56,-10.9,166.6,21,6.1,SANTA CRUZ  ISLANDS,SANTA CRUZ ISLANDS
2/4/2013,1:19:28,11.7,92.7,10,4.8,ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
2/2/2013,14:17:34,42.9,143,100,6.9,HOKKAIDO ,JAPAN
2/1/2013,5:36:44,-11.3,165.5,26,6.2,SANTA CRUZ  ISLANDS,SANTA CRUZ ISLANDS
2/1/2013,22:16:41,-10.7,165.5,40,6.5,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
1/31/2013,3:33:46,-10.5,166.4,96,6.2,SANTA CRUZ ISLANDS,SANTA CRUZ ISLANDS
1/30/2013,20:15:39,-28,-70.5,15,6.7,ATACAMA,CHILE
1/30/2013,21:30:18,30.2,80,5,2.6,BAGESHWAR,UTTARAKHAND
1/29/2013,19:42:52,30,81.6,7,4,NEPAL,NEPAL
1/28/2013,16:38:52,42.6,79.7,10,6.1,LAKE ISSYK-KUL REGION,KYRGYZSTAN
1/26/2013,2:24:33,17.1,73.7,2,3.6,KOYNA,MAHARASHTRA
1/22/2013,15:09:22,36.4,68.9,45,5.2,HINDU KUSH,HINDU KUSH
1/22/2013,23:54:33,7.5,93.7,60,4.5,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
1/21/2013,22:22:50,4.9,96.1,36,6,NORTHERN SUMATRA INDONESIA,INDONESIA
1/18/2013,12:42:49,31.1,99.4,10,5.6,SICHUAN,CHINA
1/13/2013,17:35:49,26.5,86.1,10,3,INDIA-NEPAL BORDER,NEPAL
1/11/2013,9:10:12,13.5,92.8,35,5,ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
1/10/2013,13:47:02,4.9,95.3,10,5.7,NORTHERN SUMATRA,INDONESIA
1/10/2013,15:16:13,30.1,80.4,5,3.2,PITHORAGARH,UTTARAKHAND
1/9/2013,1:41:52,25.4,94.9,89,5.9,MYANMAR-INDIA BORDER REGION,MYANMAR
1/8/2013,10:36:58,15.8,73.9,35,2.5,MAHARASHTRA-GOA BORDER REGION,MAHARASHTRA
1/7/2013,5:32:46,28.1,94.3,10,4.5,ARUNACHAL PRADESH,ARUNACHAL PRADESH
1/7/2013,7:06:47,28.1,94.4,10,3.9,ARUNACHAL PRADESH,ARUNACHAL PRADESH
1/7/2013,7:19:58,28.1,94.4,10,4.2,ARUNACHAL PRADESH,ARUNACHAL PRADESH
1/5/2013,8:58:19,55.9,-134.9,10,7.5,SOUTHEASTERN ALASKA,ALASKA
1/3/2013,5:47:27,25.4,93.6,14,3.8,NAGALAND-MANIPUR ORDER,MANIPUR
1/2/2013,14:53:41,27.3,88.6,10,3,GANGTOK,SIKKIM
1/2/2013,22:06:31,23.2,94.2,18,3.2,MYANMAR,MYANMAR
1/2/2013,17:42:15,29.4,81.1,10,4.8,NEPAL,NEPAL
1/1/2013,14:43:41,26.3,93.2,35,3.5,DISTT-KARBI,ASSAM
12/30/2014,21:17:24,-20.4,-178.5,605,6.1,FIJI,FIJI
12/29/2014,17:26:57,26.4,92,10,4,DARRANG,ASSAM
12/29/2014,9:29:37,8.6,121.3,10,6,MINDANAO,PHILLIPPINES
12/27/2014,15:25:50,24.8,94,10,3.6,IMPHAL,MANIPUR
12/27/2014,2:02:39,23.5,94.4,10,4.2,MAYANMAR,MYANMAR
12/26/2014,13:00:05,6.7,94.5,10,4.8,NICOBAR ISLAND,ANDAMAN & NICOBAR ISLANDS
12/26/2014,7:08:09,28.1,87,12,5,TIBET-NEPAL BORDER REGION,NEPAL
12/26/2014,3:30:41,23.42,93.81,6,3.3,MAYANMAR,MYANMAR
12/25/2014,7:40:49,26.4,89.9,10,4.1,KOKARAJHAR,ASSAM
12/22/2014,23:24:43,22.3,92.9,10,4.1,SAIHA,MIZORAM
12/21/2014,11:34:17,2.1,126.5,60,6.5,MOLUCCA SEA,PACIFIC OCEAN
12/21/2014,5:37:37,24.3,94.5,80,5,MAYANMAR,MYANMAR
12/20/2014,9:29:58,37.5,141.6,42,6.1,EAST COST HONSHU,JAPAN
12/19/2014,14:41:46,6.8,94.6,35,5.1,NICOBAR ISLAND,ANDAMAN & NICOBAR ISLANDS
12/19/2014,2:36:17,7.5,94.3,10,4.7,NICOBAR ISLAND,ANDAMAN & NICOBAR ISLANDS
12/18/2014,15:32:06,27.6,86.4,10,5.2,NEPAL,NEPAL
12/18/2014,12:14:29,36.5,71,165,5,AFGANISTAN,AFGHANISTAN
12/17/2014,15:24:36,2.8,96,70,5.2,NORTH SUMATRA,INDONESIA
12/17/2014,6:10:33,-3.4,100.1,10,5.8,SOUTH SUMATRA,INDONESIA
12/11/2014,19:27:38,24.6,94.2,72,3.7,MANIPUR,MANIPUR
12/10/2014,21:03:39,25.6,122.5,258,6.2,TAIWAN,CHINA
12/10/2014,14:44:50,24.5,94.1,32,3.6,MANIPUR,MANIPUR
12/8/2014,8:55:00,8.9,-82.6,81,6.5,PANAMA,PANAMA
12/8/2014,5:39:04,12.1,93.6,33,4,ANDAMAN ISLAND,ANDAMAN & NICOBAR ISLANDS
12/7/2014,1:22:07,-6.5,154.5,10,6.5,SOLOMON SEA,SOLOMON ISLANDS
12/6/2014,22:05:16,-6.2,130.4,165,6.1,BANDA SEA,INDONESIA
12/4/2014,23:53:49,27,92.5,10,4.8,ARUNACHAL PRADESH,ARUNACHAL PRADESH
12/3/2014,6:28:11,24,92.7,46,3.6,KOLASIB,MIZORAM
12/2/2014,18:47:02,26.3,91.3,15,3,NALBARI,ASSAM
12/2/2014,5:11:32,6.2,123.1,627,6.3,CELEBES SEA,PHILLIPPINES
12/2/2014,4:53:54,6,61.3,85,5.9,CARLSBERG RIDE,ARABIAN SEA
11/28/2014,1:18:41,12.5,92.8,10,5.4,ANDAMAN ISLAND,ANDAMAN & NICOBAR ISLANDS
11/26/2014,14:33:45,1.9,126.4,26,6.9,MOLUCCA SEA,PACIFIC OCEAN
11/25/2014,21:32:26,27.1,89,10,4.5,BHUTAN,BHUTAN
11/25/2014,15:49:08,27.8,84.7,7,3.8,NEPAL,NEPAL
11/24/2014,15:30:12,3,96.4,92,5.1,NORTHERN SUMATRA,INDONESIA
11/22/2014,13:45:24,36.5,66.5,10,5.7,AFGHANISTAN,AFGHANISTAN
11/22/2014,13:08:18,36.7,137.8,10,6.2,HONSHU(NAGANO),JAPAN
11/22/2014,11:34:50,17.3,73.8,15,3.6,SATARA,MAHARASHTRA
11/22/2014,8:55:28,30.3,101.7,10,6,SICHUAN,CHINA
11/21/2014,22:45:38,34.3,79,85,4.3,INDIA(J&K),JAMMU & KASHMIR
11/21/2014,16:11:15,23.6,93.4,46,4.7,INDIA(MIZORAM),MIZORAM
11/21/2014,10:10:22,2.2,127,60,6.6,MOLUCCA SEA,PACIFIC OCEAN
11/21/2014,8:58:06,36.6,71.1,210,5.3,HINDUKUSH(AFGHANISTAN),HINDU KUSH
11/20/2014,22:45:22,23.5,93.6,80,4.3,MYANMAR-INDIA BORDER,MYANMAR
11/20/2014,18:14:32,23.8,93.5,33,5.6,MYANMAR-INDIA BORDER,MYANMAR
11/20/2014,6:05:47,7.3,94.4,10,4.7,NICOBAR ISLAND,ANDAMAN & NICOBAR ISLANDS
11/19/2014,15:26:00,24.5,72.4,5,2.9,SIROHI(RAJASTHAN),RAJASTHAN
11/18/2014,15:55:26,32.7,76,5,3.7,CHAMBA(HP),HIMACHAL PRADESH
11/18/2014,6:12:08,7.1,94.1,10,4.6,NICOBAR ISLAND,ANDAMAN & NICOBAR ISLANDS
11/18/2014,6:06:17,6.8,95,10,4.8,NICOBAR ISLAND,ANDAMAN & NICOBAR ISLANDS
11/18/2014,4:47:21,1.9,126.2,50,6.1,MOLUCCA SEA,PACIFIC OCEAN
11/18/2014,3:25:43,7.4,94.4,10,5.4,NICOBAR ISLAND,ANDAMAN & NICOBAR ISLANDS
11/17/2014,8:59:42,35.1,77.4,19,3.9,JAMMU AND KASHMIR,JAMMU & KASHMIR
11/17/2014,5:08:10,7.5,94.5,55,4.7,ANDAMAN SEA,ANDAMAN & NICOBAR ISLANDS
11/17/2014,4:34:09,20.7,94.3,64,5.5,MAYANMAR,MYANMAR
12/31/2015,3:23:22,7.2,94.4,10,4.5,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
12/30/2015,17:24:54,25.1,91.1,10,3.7,BANGLADESH,BANGLADESH
12/29/2015,15:50:22,32.2,79.3,10,2.9,CHAMOLI,UTTARAKHAND
12/27/2015,4:42:50,25.4,91.9,5,2.7,SHILLONG,MEGHALAYA
12/25/2015,19:14:46,36.5,71.2,186,6.5,HINDUKUSH AFGHANISTAN,HINDU KUSH
12/23/2015,13:27:12,25.8,94.7,48,4.2,TUENSUNG,NAGALAND
12/18/2015,22:16:55,29.3,81.7,10,5.4,NEPAL,NEPAL
12/17/2015,19:49:53,15.9,-93.2,91,6.5,CHIAPAS,MEXICO
12/16/2015,4:48:16,13.5,94,10,4.8,ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
12/15/2015,2:35:14,24.2,86.6,10,4.2,DEVGHAR JHARKHAND,JHARKHAND
12/13/2015,18:24:25,26.2,92.3,36,3.3,ASSAM KARBI ANGLONG,ASSAM
12/9/2015,10:21:53,-4.2,129.4,72,6.8,INDONESIA,INDONESIA
12/7/2015,7:50:02,38.1,72.9,25,7,TAJAKISTAN,TAJIKISTAN
12/6/2015,12:35:17,28.8,76.8,5,2.9,ROHTAK,HARYANA
12/4/2015,22:24:59,-47.6,85.1,10,7,SOUTHEAST INDIAN RIDGE,INDIAN OCEAN
12/3/2015,1:48:15,2.7,95.6,10,4.8,NORTHERN SUMATRA INDONESIA,INDONESIA
11/29/2015,2:47:38,30.6,79.6,10,4,CHAMOLI,UTTARAKHAND
11/27/2015,21:00:21,-24.8,-70.3,21,6.2,CHILE,CHILE
11/27/2015,15:46:43,2.8,96.4,40,4.8,COAST SUMATRA,INDONESIA
11/27/2015,11:40:37,34.9,73.8,67,4.8,PAKISTAN,PAKISTAN
11/27/2015,8:34:02,22.5,94.7,47,5.2,MYANMAR,MYANMAR
11/26/2015,5:45:18,-9.2,-71.2,600,6.5,PERU-BRAZIL BORDER REGION,PERU
11/25/2015,16:15:07,26.4,92.8,10,4.9,NAGAON,ASSAM
11/24/2015,22:50:52,-10,-71,613,7.1,PERU-BRAZIL BORDER REGION,PERU
11/24/2015,22:45:37,-10.6,-70.9,593,7,PERU-BRAZIL BORDER REGION,PERU
11/22/2015,18:16:02,36.5,71.6,80,6,HINDUKUSH,AFGHANISTAN
11/19/2015,4:15:52,27.8,85.6,20,5,NEPAL,NEPAL
11/18/2015,18:31:01,-9,158.4,10,7,SOLOMON ISLANDS,SOLOMON ISLANDS
11/18/2015,14:31:21,34,74.7,10,3.1,JAMMU AND KASHMIR,JAMMU & KASHMIR
11/18/2015,8:25:41,29.8,80.5,15,3.3,NEPAL-INDIA BORDER,NEPAL
11/16/2015,16:49:16,48.3,154.2,40,6.1,KURIL ISLANDS,PACIFIC OCEAN
11/14/2015,16:53:40,7.1,94.9,10,4.9,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/13/2015,20:51:36,31.2,128.7,10,6.8,EAST CHINA SEA,CHINA
11/13/2015,7:44:33,29.8,80.2,10,3,PITHORAGARH,UTTARAKHAND
11/11/2015,2:46:21,-29.5,-71.6,10,6.5,CHILE,CHILE
11/11/2015,1:54:37,-29.4,-72.2,10,6.6,CHILE,CHILE
11/9/2015,16:03:49,51.9,-173.1,35,6.2,NORTH PACIFIC SEA,PACIFIC OCEAN
11/9/2015,8:12:53,6.7,94.8,60,5.4,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/9/2015,6:12:24,6.5,94.8,10,5.1,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,19:14:48,6.8,94.3,10,4.9,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,18:48:47,6.6,94.6,10,4.9,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,17:47:17,6.7,94.7,10,4.7,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,16:59:26,7.1,94.6,10,5.6,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,16:47:07,6.9,94.6,10,6,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,14:47:08,7,94.6,50,4.9,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,14:34:12,6.9,94.8,50,5,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,13:24:03,7.5,94.5,35,5.2,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,11:54:52,7.3,94.5,60,5,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,10:53:31,6.8,94.6,35,5,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,10:42:08,7,94.6,35,5.2,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/8/2015,9:34:50,0.8,99,10,5.7,NORTHERN SUMATRA,INDONESIA
