Date,Time(UTC),Lat,Lang,Depth(KM),Magnitude,Region,MainRegion
11/11/2012,20:23:12,32.3,76.2,5,4,KANGRA,HIMACHAL PRADESH
11/11/2012,22:15:00,14.3,-92,20,6.5,OFFSHORE GUATEMALA,GUATEMALA
11/12/2012,20:02:12,30.7,78.5,5,2.5,DISTT. UTTARKASHI,UTTARAKHAND
11/12/2012,20:42:15,57.8,-142.7,10,6.2,GULF OF ALASKA,ALASKA
11/14/2012,22:10:04,23.3,91.5,10,3.5,SOUTH TRIPURA,TRIPURA
11/15/2012,6:46:07,30.2,80.1,5,3,DISTTS(PITHORAGARH-BAGESHWAR BORDER REGN,UTTARAKHAND
11/15/2012,9:20:22,18.4,-100.4,61,6,GUERRERO,MEXICO
11/16/2012,16:58:00,28,93.2,5,3.5,LOWER SUBANSIRI,ARUNACHAL PRADESH
11/16/2012,18:12:45,49.4,155.3,65,6.9,KURIL ISLANDS,PACIFIC OCEAN
11/19/2012,6:25:21,28.7,76.6,5,3.5,DISTT ROHTAK,HARYANA
11/19/2012,17:25:50,23,96,10,5,MYANMAR,MYANMAR
11/19/2012,17:54:07,30.5,67.7,15,5.4,PAKISTAN,PAKISTAN
11/20/2012,4:15:35,22.1,75.6,28,3.3,KASRAWAD TALUK,MADHYA PRADESH
11/25/2012,6:01:44,23.7,91.5,15,4.2,WEST TRIPURA,TRIPURA
11/26/2012,0:34:29,30.3,80,5,2.8,BAGESHWAR,UTTARAKHAND
11/26/2012,23:13:53,14.1,93.5,50,4.8,ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/27/2012,12:15:15,30.9,78.4,12,4.8,DISTT.UTTARKASHI,UTTARAKHAND
11/28/2012,22:19:21,11.9,77.9,15,3.3,DISTTS(DHARMAPURI--SALEM BORDER REGION),TAMIL NADU
11/29/2012,11:10:31,-3.6,145.2,36,6,NEAR NORTH COAST OF NEW GUINA P.N.G,PAPUA NEW GUINEA
11/30/2012,3:52:22,25.9,95.7,10,4.7,MYANMAR,MYANMAR
11/30/2011,4:59:20,24.5,94.4,6,3.5,MANIPUR(INDIA)-MYANMAR BORDER REGION,MANIPUR
11/30/2012,19:39:29,27.3,88.3,10,4.1,WEST,SIKKIM
12/2/2012,0:54:27,-17,167.7,66,6.3,VANUATU ISLANDS,VANUATU
12/5/2012,8:05:03,25.1,94.8,85,4.1,MYANMAR-INDIA (MANIPUR)BORDER REGION,MANIPUR
12/6/2012,14:33:58,27.8,94.1,10,3.4,LOWER SUBANSIRI,ARUNACHAL PRADESH
12/7/2012,8:18:25,38,144.1,42,7.3,OFF THE EAST COAST OF HONSHU,JAPAN
12/7/2012,8:31:11,37.9,144,10,6.1,OFF THE EAST COAST OF HONSHU,JAPAN
12/7/2012,18:19:16,-38.3,176,180,6.3,NORTH ISLAND OF NEW ZEALAND,NEW ZEALAND
12/8/2012,7:06:09,23,70.4,10,4.3,RANN OF KACHCHH,GUJARAT
12/10/2012,16:53:10,-6.5,129.8,160,7.3,BANDA SEA,INDONESIA
12/11/2012,7:19:05,23.5,93.4,23,3.8,INDIA (MIZORAM)-MYANMAR BORDER REGION,MIZORAM
12/14/2012,10:36:07,31.3,-119.5,50,6.4,OFF WEST COAST OF BAJA CALIFORNIA,CALIFORNIA
12/15/2012,19:30:00,-4.6,153,35,6,PAPUA NEW GUINEA,PAPUA NEW GUINEA
12/17/2012,9:16:31,-0.7,123.8,50,6,SULAWESI . INDONESIA,INDONESIA
12/19/2012,22:32:00,28.6,76.8,10,2.9,DISTT JHAJJAR,HARYANA
12/20/2012,3:44:15,28.6,76.7,20,2.7,DISTT JHAJJAR,HARYANA
12/20/2012,13:00:56,27.5,76.2,5,3.6,DISTT JAIPUR,RAJASTHAN
12/21/2012,7:59:45,25.6,94.1,10,3.6,DISTT: KOHIMA,NAGALAND
12/21/2012,22:28:09,-14.3,167.2,200,6.6,VANUATU  ISLAND,VANUATU
12/22/2012,3:50:08,5.2,94.3,10,5.2,NORTHERN SUMATRA ,INDONESIA
12/22/2012,16:41:44,22.5,94.8,115,5.7,MYANMAR,MYANMAR
12/25/2012,17:36:28,28.5,66.5,10,5,PAKISTAN,PAKISTAN
12/26/2012,2:04:42,26.5,92.7,26,3.4,NAGAON,ASSAM
12/28/2012,2:46:08,26.3,92.8,40,3.4,NAGAON,ASSAM
12/29/2012,17:50:50,35.7,70.6,94,5.9,HINDU KUSH REGION,AFGHANISTAN
12/30/2012,8:16:45,24.2,91.6,30,4.2,INDIA (TRIPURA)-BANGLADESH BORDER REGION,TRIPURA
12/30/2013,9:44:11,24.3,93.2,10,4.5,CHURACHANDPUR--MANIPUR,MANIPUR
12/25/2013,2:56:52,31.2,78.3,10,4,DISTRICT UTTARKASHI,UTTARAKHAND
12/21/2013,14:21:44,36.5,71.5,84,5.2,HINDU KUSH REGION,AFGHANISTAN
12/20/2013,3:04:33,14.4,93,12,5.1,NORTH ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
12/20/2013,21:10:39,4.3,96.3,93,5.4,NORTHERN SUMATRA,INDONESIA
12/19/2013,19:28:41,27.5,67.6,10,5.5,PAKISTAN,PAKISTAN
12/17/2013,7:34:48,24.9,94.9,118,4.2,MYANMAR-INDIA (MANIPUR) BORDER REGION,MANIPUR
12/17/2013,8:56:28,24.1,91.1,20,3.8,BANGLADESH-INDIA ( TRIPURA ) BORDER REGION,TRIPURA
12/17/2013,14:45:52,31.5,78,10,3.3,DISTT.KINNAUR,HIMACHAL PRADESH
12/16/2013,4:31:35,26.8,89.4,10,3.5,JALPAIGURI,WEST BENGAL
12/13/2013,10:21:48,27.8,95.4,10,3.5,DHEMAJI,ASSAM
12/9/2013,7:39:41,9.5,92.9,10,4.5,NICOBAR ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
12/9/2013,8:38:58,35.4,77.4,10,3.8,JAMMU & KASHMIR REGION,JAMMU & KASHMIR
12/9/2013,10:54:18,11,76.3,5,3.4,DISTRICT MALAPPURAM ,KERALA
12/8/2013,4:33:31,11.1,76.3,5,3.2,DISTRICT MALAPPURAM ,KERALA
12/7/2013,1:06:42,11.7,94,150,4.9,ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
12/7/2013,4:41:50,24.2,91.4,10,3.8,BANGLADESH-INDIA(TRIPURA) BORDER REGION,TRIPURA
12/6/2013,18:58:42,35.5,77,35,3.8,INDIA (J & K) - TIBET BORDER REGION,JAMMU & KASHMIR
12/5/2013,18:11:07,36.7,73.4,65,4.7,NORTHERN KASHMIR (J& K),JAMMU & KASHMIR
12/4/2013,13:05:20,26.6,89.5,10,4.7,INDIA(WEST BENGAL)-BANGLADESH BORDER REGION,WEST BENGAL
12/2/2013,7:35:00,2.2,96.7,39,5.5,NORTHERN SUMATRA,INDONESIA
12/1/2013,1:24:15,-7.1,128.2,20,6.6,BANDA SEA,INDONESIA
12/1/2013,6:30:02,2.1,96.9,40,5.8,NORTHERN SUMATRA,INDONESIA
11/30/2013,11:58:45,17.4,74,10,3.6,KOYNA REGION,MAHARASHTRA
11/29/2013,1:54:45,29,95.9,10,5,ARUNACHAL PRADESH-DIBANG VALLEY,ARUNACHAL PRADESH
11/28/2013,16:02:52,0.2,98.5,47,5.1,NORTHERN SUMATRA,INDONESIA
11/26/2013,1:04:18,35.2,77.4,10,4,EASTERN KASHMIR,JAMMU & KASHMIR
11/25/2013,5:56:49,45.6,151,33,6,KURIL ISLANDS,PACIFIC OCEAN
11/25/2013,6:27:22,-53.9,-54.5,10,7,FALKLANDS ISLANDS REGION,SOUTH ATLANTIC OCEAN
11/23/2013,7:48:33,-17.1,-176.6,380,6.4,FIJI ISLANDS REGION,FIJI ISLANDS
11/22/2013,17:20:57,5.4,92.7,12,5.4,OFF WEST COAST OF NORTHERN SUMATRA,INDONESIA
11/21/2013,4:23:18,26.6,93.2,10,3.9,NAGAON,ASSAM
11/20/2013,10:09:21,12.5,95.2,14,5.4,ANDAMAN SEA,ANDAMAN & NICOBAR ISLANDS
11/19/2013,13:32:55,2.7,128.4,67,6.3,HALMAHERA,INDONESIA
11/17/2013,9:04:57,-60.4,-46.5,10,7.5,SCOTIA SEA,SOUTH ATLANTIC OCEAN
11/16/2013,3:34:33,-60.1,-47.1,10,6.8,SCOTIA SEA,SOUTH ATLANTIC OCEAN
11/16/2013,10:26:43,4.3,90.1,10,5.5,OFF WEST COAST OF NORTHERN SUMATRA,INDONESIA
11/16/2013,19:22:08,35.9,78,10,3.8,INDIA(JAMMU & KASHMIR)-CHINA BORDER REGION,JAMMU & KASHMIR
11/15/2013,15:43:09,5.4,94.5,60,5.1,NORTHERN  SUMATRA,INDONESIA
11/15/2013,22:21:02,34.2,77.9,10,3.8,JAMMU & KASHMIR,JAMMU & KASHMIR
11/13/2013,1:51:18,2.5,90.2,10,5.1,OFF WEST COAST OF NORTHERN SUMATRA,INDONESIA
11/13/2013,23:33:41,30,79.2,5,3.3,GARHWAL,UTTARAKHAND
11/12/2013,7:03:52,54.8,161.9,55,6.6,KAMCHATKA KRAI,RUSSIA
11/12/2013,19:52:14,24.6,94.5,90,4,MYANMAR-INDIA(MANIPUR)BORDER REGION,MANIPUR
11/11/2013,19:11:19,28.6,77.2,16,3.1,DELHI,DELHI
11/11/2013,20:11:33,28.6,77.2,15,3.3,DELHI,DELHI
11/11/2013,20:25:08,28.6,77.2,15,2.5,DELHI,DELHI
11/11/2013,22:10:45,28.6,77.1,13,2.8,DELHI,DELHI
11/10/2013,20:29:59,10.8,92,10,4.8,ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
11/9/2013,12:46:57,17.1,73.9,5,3.5,KOYNA,MAHARASHTRA
11/6/2013,4:16:16,26.5,93.5,20,5.5,KARBI ANGLONG,ASSAM
11/6/2013,14:53:08,31.4,76.1,10,4.9,HOSHIARPUR,PUNJAB
11/4/2013,12:56:20,14.4,93.1,9,4.9,OFF NORTH COAST OF NORTH ANDAMAN ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
11/3/2013,6:54:05,10.6,92.8,30,4.8,OFF EAST COAST OF LITTLE ANDAMAN,ANDAMAN & NICOBAR ISLANDS
11/3/2013,8:18:38,36.1,74.6,10,4,GILGIT REGION,JAMMU & KASHMIR
11/2/2013,18:53:47,-19.3,-172.5,10,6.5,TONGA ISLANDS REGION,TONGA ISLANDS
10/31/2013,12:02:08,23.6,121.5,10,6.4,TAIWAN,CHINA
10/29/2013,7:51:00,22.9,94.2,46,4.7,MYANMAR REGION,MYANMAR
10/28/2013,7:34:48,8.4,93.7,33,4.4,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
10/26/2013,0:05:03,33,75.9,10,4,BHADARWAH,JAMMU & KASHMIR
10/26/2013,8:46:35,25.7,90.8,10,3.5,EAST GARO HILLS,MEGHALAYA
10/25/2013,17:10:15,37.2,144.7,10,7.3,OFF EAST COAST OF HONSHU,JAPAN
10/24/2013,9:12:41,35.5,77.4,23,4,INDIA (J & K)-CHINA BORDER,JAMMU & KASHMIR
10/24/2013,17:57:35,14.3,93,10,5.4,NORTH OFF COAST OF ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
10/23/2013,14:47:24,35.5,77.2,14,3.5,JAMMU & KASHMIR,JAMMU & KASHMIR
10/22/2013,5:40:43,5.2,96,40,5.3,NORTHERN SUMATRA,INDONESIA
10/21/2013,2:27:11,35.1,77.1,12,5.4,EASTERN KASHMIR,JAMMU & KASHMIR
10/20/2013,19:45:05,35.8,77.5,80,5.5,INDIA (KASHMIR ) - CHINA BORDER  REGION,JAMMU & KASHMIR
10/18/2013,13:18:22,28.4,66.6,10,5.5,PAKISTAN,PAKISTAN
10/16/2013,7:02:44,27.6,92.7,10,3.5,WEST KAMENG,ARUNACHAL PRADESH
10/16/2013,30:53.0,-6.5,155,33,6.9,PAPUA NEW GUINEA,PAPUA NEW GUINEA
10/15/2013,0:12:32,10,124,10,7,MINDANAO,PHILLIPPINES
10/13/2013,1:17:53,36.4,70.7,194,5.3,HINDU KUSH REGION,AFGHANISTAN
10/13/2013,17:32:48,4.2,96.1,66,5.7,NORTHERN SUMATRA,INDONESIA
10/12/2013,13:11:51,35.5,23.3,30,6.5,CRETE,GREECE
10/11/2013,18:05:34,28.8,76.7,10,3.3,DISTT. - ROHTAK (HARYANA),HARYANA
10/9/2013,5:25:20,27.1,92.5,10,3.4,WEST KAMENG,ARUNACHAL PRADESH
10/7/2013,20:54:03,26.3,92.5,10,3.7,NAGAON,ASSAM
10/3/2013,6:12:40,27.4,88.5,10,5,SIKKIM,SIKKIM
10/1/2013,3:38:21,53.2,152.8,567,6.8,SEA OF OKHOTSK,PACIFIC OCEAN
9/30/2013,5:55:53,-30.8,-178.3,26,6.5,KERMADEC ISLANDS,NEW ZEALAND
9/28/2013,7:34:10,27.2,65.9,20,6.8,PAKISTAN,PAKISTAN
9/26/2013,5:30:07,24.1,93.3,15,3.5,DISTT.CHURACHANDPUR,MANIPUR
9/26/2013,2:47:43,12.7,79.3,5,3.3,DISTT. TIRUVANNAMALAI,TAMIL NADU
9/25/2013,16:42:43,-15.8,-74.5,34,6.9,NEAR COAST OF PERU,PERU
9/25/2013,16:47:40,30.9,76.7,10,3,RUPNAGAR,PUNJAB
9/25/2013,19:28:02,26,90.5,15,3.9,ASSAM-MEGHALAYA (EAST GARO HILLS)BORDER REGION,ASSAM
9/24/2013,11:29:48,27,65.7,10,7.4,PAKISTAN,PAKISTAN
9/24/2013,13:01:41,27.4,65.8,14,5.5,PAKISTAN,PAKISTAN
9/23/2013,13:26:07,26.2,79.4,5,3.5,JALAUN,UTTAR PRADESH
9/22/2013,6:06:34,5.3,94.4,10,4.8,NORTHERN SUMATRA,INDONESIA
9/20/2013,12:24:45,23.3,96.3,10,5.3,MYANMAR,MYANMAR
9/17/2013,23:11:34,7.5,93.6,65,4.5,NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS
9/12/2013,9:21:19,27.1,92.5,10,3.5,WEST KAMENG,ARUNACHAL PRADESH
9/11/2013,10:09:41,10.7,92.1,10,4.3,ANDAMAN ISLANDS REGION,ANDAMAN & NICOBAR ISLANDS
9/9/2013,11:58:17,27.4,92.4,33,4.8,WEST KAMENG,ARUNACHAL PRADESH
9/9/2013,12:51:45,27,92.5,10,3.6,WEST KAMENG,ARUNACHAL PRADESH
9/8/2013,13:40:57,25.6,91.9,10,3.5,EAST KHASI HILLS,MEGHALAYA
9/8/2013,17:30:20,36.5,70.2,209,5.2,HINDUKUSH,AFGHANISTAN
9/7/2013,0:13:30,14.6,-91.9,66,6.3,GUATEMALA,CENTRAL AMERICA
9/7/2013,3:24:56,25.3,94.9,90,4.8,MYANMAR-INDIA BORDER REGION,MYANMAR
9/5/2013,16:40:11,17.3,73.9,10,4,KOYNA REGION,MAHARASHTRA
9/5/2013,18:11:28,33.3,75.7,10,4.5,KISHTWAR,JAMMU & KASHMIR
9/5/2013,18:35:42,30.9,78.5,11,3.5,DIST. - UTTARKASHI,UTTARAKHAND
9/4/2013,0:18:24,30,138.9,425,6.5,IZU ISLANDS,JAPAN
9/4/2013,2:32:34,51.5,-174.7,40,6.5,ALEUTIAN ISLANDS,ALASKA
9/3/2013,8:06:18,33.2,75.8,10,4.4,KISHATWAR,JAMMU & KASHMIR
9/1/2013,3:35:39,26.4,93.5,30,3,KARBI ANGLONG,ASSAM
9/1/2013,11:51:31,-7.6,128.3,110,6.5,KEPULAUAN BARAT DAYA,INDONESIA
8/31/2013,0:04:20,28.3,99.3,20,5.6,YUNNAN,CHINA
8/31/2013,3:55:06,24.6,94.2,8,3.7,DISTT. CHANDEL,MANIPUR
8/31/2013,21:06:32,28.9,94.4,30,3,INDIA(ARUNACHAL PRADESH)-CHINA BORDER REGION,ARUNACHAL PRADESH
8/30/2013,16:25:02,51.6,-175.3,30,7,ALEUTIAN ISLANDS,ALASKA
8/29/2013,10:13:21,31.4,76.1,10,4.7,PUNJAB(DISTT. HOSHIARPUR) -H.P BORDER REGION,PUNJAB
8/26/2013,8:12:09,26.3,94.7,24,3.3,TUENSANG,NAGALAND
8/25/2013,4:00:08,1.5,96.6,18,5.2,OFF WEST COAST OF NORTHERN SUMATRA,INDONESIA
8/21/2013,6:57:20,26.7,92.5,30,4.2,SONITPUR,ASSAM
8/21/2013,8:41:51,26.7,92.4,22,3.9,SONITPUR,ASSAM
8/21/2013,12:38:37,17,-99.1,33,6.1,GURRERO,MEXICO
8/21/2013,13:09:25,26.1,92.9,33,3.2,NAGAON,ASSAM
8/18/2013,11:00:40,27.3,88.7,6,3,EAST GANGTOK,SIKKIM
8/18/2013,11:12:20,26.5,93.1,10,3.1,KARBI ANGLONG (DIPHU),ASSAM
8/18/2013,23:53:27,33.3,76,18,4.6,KISHTWAR,JAMMU & KASHMIR
8/17/2013,4:24:07,5.4,94.4,10,5,NORTHERN SUMATRA,INDONESIA
8/17/2013,14:41:14,11.4,93.3,10,4.8,ANDAMAN ISLANDS,ANDAMAN & NICOBAR ISLANDS
8/17/2013,16:32:34,-34.9,54,36,6,SOUTHWEST INDIAN RIDGE,INDIAN OCEAN
8/16/2013,2:31:21,-41.8,173.4,33,6.5,NEW ZEALAND,NEW ZEALAND
8/14/2013,7:37:34,33.4,76,15,3.3,KISHTWAR ,JAMMU & KASHMIR
8/13/2013,15:43:15,5.8,-78,10,6.7,SOUTH OF PANAMA,PANAMA
8/12/2013,0:53:43,-7.2,129.7,90,6.3,BANDA SEA,INDONESIA
8/12/2013,4:16:48,-30.5,-179.8,345,6,KERMADEC ISLANDS REGION,PACIFIC OCEAN
8/12/2013,9:49:30,-5.4,-81.9,10,6.2,NEAR COAST OF NORTHERN PERU,PERU
8/11/2013,8:24:16,24.9,91.9,20,3.6,BANGLADESH-INDIA(MEGHALAYA) BORDER REGION,MEGHALAYA
8/11/2013,21:23:41,30.1,98,10,5.7,XIZANG,CHINA
8/5/2013,7:27:06,27,70.7,20,4,DISTT.JAISALMER,RAJASTHAN
8/5/2013,13:57:47,33.3,75.9,27,4.4,KISHTWAR,JAMMU & KASHMIR
8/3/2013,9:31:04,33.5,75.8,10,3.3,KISHTWAR ,JAMMU & KASHMIR
8/2/2013,2:32:50,33.5,75.5,28,5.4,JAMMU & KASHMIR,JAMMU & KASHMIR
8/2/2013,12:04:22,24.2,94.8,15,5,MYANMAR - INDIA (MANIPUR) BORDER REGION,MANIPUR
8/2/2013,21:37:40,33.4,75.9,20,5.2,KISHTWAR,JAMMU & KASHMIR
8/2/2013,22:42:05,33.4,75.9,10,3.7,KISHTWAR,JAMMU & KASHMIR
7/30/2013,18:09:13,33,75.1,5,3.8,UDHAMPUR,JAMMU & KASHMIR
7/29/2013,8:07:59,36.6,70.6,180,5.5,HINDUKUSH ,AFGHANISTAN
7/22/2013,7:01:42,-46.1,34.6,10,6,PRINCE EDWARD ISLANDS REGION,CANADA
7/22/2013,9:07:19,33,75.5,10,3.7,UDHAMPUR,JAMMU & KASHMIR
7/21/2013,5:09:37,-41.8,173.8,10,6.4,COOK STRAIT,NEW ZEALAND
7/21/2013,23:45:56,34.5,104.2,10,6.2,GANSU,CHINA
7/18/2013,12:55:28,28.7,76.6,10,3,JHAJJAR,HARYANA
7/16/2013,23:41:17,5.5,98,10,5.4,NORTHERN SUMATRA,INDONESIA
7/15/2013,14:03:43,-60.8,-24.8,24,7,SOUTH SANDWICH ISLANDS,SANDWICH ISLAND
7/15/2013,17:49:11,32.6,76.7,30,4.4,LAHUL & SPITI,HIMACHAL PRADESH
7/13/2013,17:49:33,32.2,76.3,10,4.5,KANGRA,HIMACHAL PRADESH
7/13/2013,19:27:05,28.3,94.9,10,3.5,WEST SIANG,ARUNACHAL PRADESH
7/12/2013,7:01:30,26.3,90.8,10,3.6,GOALPARA,ASSAM
7/12/2013,9:43:14,26.2,92,10,3.5,MARIGAON,ASSAM
7/11/2013,7:49:09,26.5,93.5,19,3.2,KARBI ANGLONG,ASSAM
