Date,Time,Lat,Lang,Depth(KM),Magnitude,Region
14/11/2012,22:10:04,23.3°N,91.5°E,10,3.5,SOUTH TRIPURA
15/11/2012,06:46:07,30.2°N,80.1°E,5,3.0,"DISTTS(PITHORAGARH-BAGESHWAR BORDER REGN,UTTRAKHAND"
15/11/2012,09:20:22,18.4°N,100.4°W,61,6.0,"GUERRERO, MEXICO"
16/11/2012,16:58:00,28.0°N,93.2°E,5,3.5,"LOWER SUBANSIRI, ARUNACHAL PRADESH"
16/11/2012,18:12:45,49.4°N,155.3°E,65,6.9,KURIL ISLANDS
19/11/2012,06:25:21,28.7°N,76.6°E,5.0,3.5,"DISTT ROHTAK, HARYANA"
19/11/2012,17:25:50,23.0°N,96.0°E,10,5.0,MYANMAR
19/11/2012,17:54:07,30.5°N,67.7°E,15,5.4,PAKISTAN
20/11/2012,04:15:35,22.1°N,75.6°E,28,3.3,"KASRAWAD TALUK, WEST NIMAR DISTT., M.P."
25/11/2012,06:01:44,23.7°N,91.5°E,15,4.2,WEST TRIPURA
26/11/2012,00:34:29,30.3°N,80.0°E,05,2.8,"BAGESHWAR, UTTARAKHAND"
26/11/2012,23:13:53,14.1°N,93.5°E,50,4.8,ANDAMAN ISLANDS
27/11/2012,12:15:15,30.9°N,78.4°E,12,4.8,"DISTT.UTTARKASHI, UTTARAKHAND"
28/11/2012,22:19:21,11.9°N,77.9°E,15,3.3,"DISTTS(DHARMAPURI--SALEM BORDER REGION),TAMILNADU"
29/11/2012,11:10:31,03.6°S,145.2°E,36,6.0,NEAR NORTH COAST OF NEW GUINA P.N.G
30/11/2012,03:52:22,25.9°N,95.7°E,10,4.7,MYANMAR
30/11/2011,04:59:20,24.5°N,94.4°E,06,3.5,MANIPUR(INDIA)-MYANMAR BORDER REGION
30/11/2012,19:39:29,27.3°N,88.3°E,10,4.1,"WEST, SIKKIM"
02/12/2012,00:54:27,17.0°S,167.7°E,66,6.3,VANUATU ISLANDS
05/12/2012,08:05:03,25.1°N,94.8°E,85,4.1,MYANMAR-INDIA (MANIPUR)BORDER REGION
06/12/2012,14:33:58,27.8°N,94.1°E,10,3.4,"LOWER SUBANSIRI, ARUNACHAL PRADESH"
07/12/2012,08:18:25,38.0°N,144.1°E,42,7.3,"OFF THE EAST COAST OF HONSHU, JAPAN"
07/12/2012,08:31:11,37.9°N,144.0°E,10,6.1,"OFF THE EAST COAST OF HONSHU, JAPAN"
07/12/2012,18:19:16,38.3°S,176.0°E,180,6.3,NORTH ISLAND OF NEW ZEALAND
08/12/2012,07:06:09,23.0°N,70.4°E,10,4.3,"RANN OF KACHCHH, GUJARAT"
10/12/2012,16:53:10,06.5°S,129.8°E,160,7.3,BANDA SEA
11/12/2012,07:19:05,23.5°N,93.4°E,23,3.8,INDIA (MIZORAM)-MYANMAR BORDER REGION
14/12/2012,10:36:07,31.3°N,119.5°W,50,6.4,OFF WEST COAST OF BAJA CALIFORNIA
15/12/2012,19:30:00,04.6°S,153.0°E,35,6.0,PAPUA NEW GUINEA
17/12/2012,09:16:31,00.7°S,123.8°E,50,6.0,SULAWESI . INDONESIA
19/12/2012,22:32:00,28.6°N,76.8°E,10,2.9,"DISTT JHAJJAR, HARYANA"
20/12/2012,03:44:15,28.6°N,76.7°E,20,2.7,"DISTT JHAJJAR,HARYANA"
20/12/2012,13:00:56,27.5°N,76.2°E,5.0,3.6,"DISTT JAIPUR,RAJASTHAN"
21/12/2012,07:59:45,25.6°N,94.1°E,10,3.6,"DISTT: KOHIMA,NAGALAND"
21/12/2012,22:28:09,14.3°S,167.2°E,200,6.6,VANUATU  ISLAND
22/12/2012,03:50:08,05.2°N,94.3°E,10,5.2,"NORTHERN SUMATRA , INDONESIA"
22/12/2012,16:41:44,22.5°N,94.8°E,115,5.7,MYANMAR
25/12/2012,17:36:28,28.5°N,66.5°E,10,5.0,PAKISTAN
26/12/2012,02:04:42,26.5°N,92.7°E,26,3.4,"NAGAON, ASSAM"
28/12/2012,02:46:08,26.3°N,92.8°E,40,3.4,"NAGAON, ASSAM"
29/12/2012,17:50:50,35.7°N,70.6°E,94,5.9,"HINDU KUSH REGION,  AFGHANISTAN"
30/12/2012,08:16:45,24.2°N,91.6°E,30,4.2,INDIA (TRIPURA)-BANGLADESH BORDER REGION
2013

30-12-2013,09:44:11,24.3°N,93.2°E,10,4.5,CHURACHANDPUR--MANIPUR
25-12-2013,02:56:52,31.2°N,78.3°E,10,4,"DISTRICT UTTARKASHI,  UTTARAKHAND"
21-12-2013,14:21:44,36.5°N,71.5°E,84,5.2,"HINDU KUSH REGION, AFGHANISTAN"
20-12-2013,03:04:33,14.4°N,93.0°E,12,5.1,NORTH ANDAMAN ISLANDS
20-12-2013,21:10:39,04.3°N,96.3°E,93,5.4,"NORTHERN SUMATRA,INDONESIA"
19-12-2013,19:28:41,27.5°N,67.6°E,10,5.5,PAKISTAN
17-12-2013,07:34:48,24.9°N,94.9°E,118,4.2,MYANMAR-INDIA (MANIPUR) BORDER REGION
17-12-2013,08:56:28,24.1°N,91.1°E,20,3.8,BANGLADESH-INDIA ( TRIPURA ) BORDER REGION
17-12-2013,14:45:52,31.5°N,78.0°E,10,3.3,"DISTT.KINNAUR, H.P."
16-12-2013,04:31:35,26.8°N,89.4°E,10,3.5,"JALPAIGURI, WEST BENGAL"
13-12-2013,10:21:48,27.8°N,95.4°E,10,3.5,"DHEMAJI, ASSAM"
09-12-2013,07:39:41,09.5°N,92.9°E,10,4.5,NICOBAR ISLANDS REGION
09-12-2013,08:38:58,35.4°N,77.4°E,10,3.8,JAMMU & KASHMIR REGION
09-12-2013,10:54:18,11.0°N,76.3°E,5,3.4,"DISTRICT MALAPPURAM , KERALA"
08-12-2013,04:33:31,11.1°N,76.3°E,5,3.2,"DISTRICT MALAPPURAM , KERALA"
07-12-2013,01:06:42,11.7°N,94.0°E,150,4.9,ANDAMAN ISLANDS
07-12-2013,04:41:50,24.2°N,91.4°E,10,3.8,BANGLADESH-INDIA(TRIPURA) BORDER REGION
06-12-2013,18:58:42,35.5°N,77.0°E,35,3.8,INDIA (J & K) - TIBET BORDER REGION
05-12-2013,18:11:07,36.7°N,73.4°E,65,4.7,NORTHERN KASHMIR (J& K)
04-12-2013,13:05:20,26.6°N,89.5°E,10,4.7,INDIA(WEST BENGAL)-BANGLADESH BORDER REGION
02-12-2013,07:35:00,02.2°N,96.7°E,39,5.5,"NORTHERN SUMATRA, INDONESIA"
01-12-2013,01:24:15,07.1°S,128.2°E,20,6.6,BANDA SEA
01-12-2013,06:30:02,02.1°N,96.9°E,40,5.8,"NORTHERN SUMATRA, INDONESIA"
30-11-2013,11:58:45,17.4°N,74.0°E,10,3.6,"KOYNA REGION, MAHARASHTRA"
29-11-2013,01:54:45,29.0°N,95.9°E,10,5,ARUNACHAL PRADESH-DIBANG VALLEY
28-11-2013,16:02:52,00.2°N,98.5°E,47,5.1,"NORTHERN SUMATRA, INDONESIA"
26-11-2013,01:04:18,35.2°N,77.4°E,10,4,EASTERN KASHMIR
25-11-2013,05:56:49,45.6°N,151.0°E,33,6,KURIL ISLANDS
25-11-2013,06:27:22,53.9°S,54.5°W,10,7,FALKLANDS ISLANDS REGION
23-11-2013,07:48:33,17.1°S,176.6°W,380,6.4,FIJI ISLANDS REGION
22-11-2013,17:20:57,05.4°N,92.7°E,12,5.4,OFF WEST COAST OF NORTHERN SUMATRA
21-11-2013,04:23:18,26.6°N,93.2°E,10,3.9,"NAGAON, ASSAM"
20-11-2013,10:09:21,12.5°N,95.2°E,14,5.4,ANDAMAN SEA
19-11-2013,13:32:55,2.7°N,128.4°E,67,6.3,"HALMAHERA, INDONESIA"
17-11-2013,09:04:57,60.4°S,46.5°W,10,7.5,SCOTIA SEA
16-11-2013,03:34:33,60.1°S,47.1°W,10,6.8,SCOTIA SEA
16-11-2013,10:26:43,04.3°N,90.1°E,10,5.5,OFF WEST COAST OF NORTHERN SUMATRA
16-11-2013,19:22:08,35.9°N,78.0°E,10,3.8,INDIA(JAMMU & KASHMIR)-CHINA BORDER REGION
15-11-2013,15:43:09,05.4°N,94.5°E,60,5.1,"NORTHERN  SUMATRA,INDONESIA"
15-11-2013,22:21:02,34.2°N,77.9°E,10,3.8,JAMMU & KASHMIR
13-11-2013,01:51:18,02.5°N,90.2°E,10,5.1,OFF WEST COAST OF NORTHERN SUMATRA
13-11-2013,23:33:41,30.0°N,79.2°E,5,3.3,"GARHWAL,UTTRAKHAND"
12-11-2013,07:03:52,54.8°N,161.9°E,55,6.6,"KAMCHATKA KRAI, RUSSIA"
12-11-2013,19:52:14,24.6°N,94.5°E,90,4,MYANMAR-INDIA(MANIPUR)BORDER REGION
11-11-2013,19:11:19,28.6°N,77.2°E,16,3.1,DELHI
11-11-2013,20:11:33,28.6°N,77.2°E,15,3.3,DELHI
11-11-2013,20:25:08,28.6°N,77.2°E,15,2.5,DELHI
11-11-2013,22:10:45,28.6°N,77.1°E,13,2.8,DELHI
10-11-2013,20:29:59,10.8°N,92.0°E,10,4.8,ANDAMAN ISLANDS
09-11-2013,12:46:57,17.1°N,73.9°E,5,3.5,"KOYNA, MAHARASHTRA"
06-11-2013,04:16:16,26.5°N,93.5°E,20,5.5,"KARBI ANGLONG, ASSAM"
06-11-2013,14:53:08,31.4°N,76.1°E,10,4.9,"HOSHIARPUR, PUNJAB"
04-11-2013,12:56:20,14.4°N,93.1°E,9,4.9,OFF NORTH COAST OF NORTH ANDAMAN ISLANDS REGION
03-11-2013,06:54:05,10.6°N,92.8°E,30,4.8,OFF EAST COAST OF LITTLE ANDAMAN
03-11-2013,08:18:38,36.1°N,74.6°E,10,4,"GILGIT REGION, JAMMU & KASHMIR"
02-11-2013,18:53:47,19.3°S,172.5°W,10,6.5,TONGA ISLANDS REGION
31-10-2013,12:02:08,23.6°N,121.5°E,10,6.4,TAIWAN
29-10-2013,07:51:00,22.9°N,94.2°E,46,4.7,MYANMAR REGION
28-10-2013,07:34:48,08.4°N,93.7°E,33,4.4,"NICOBAR ISLANDS, INDIA REGION"
26-10-2013,00:05:03,33.0°N,75.9°E,10,4,"BHADARWAH, JAMMU & KASHMIR"
26-10-2013,08:46:35,25.7°N,90.8°E,10,3.5,"EAST GARO HILLS, MEGHALAYA"
25-10-2013,17:10:15,37.2°N,144.7°E,10,7.3,"OFF EAST COAST OF HONSHU, JAPAN"
24-10-2013,09:12:41,35.5°N,77.4°E,23,4,INDIA (J & K)-CHINA BORDER
24-10-2013,17:57:35,14.3°N,93.0°E,10,5.4,NORTH OFF COAST OF ANDAMAN ISLANDS
23-10-2013,14:47:24,35.5°N,77.2°E,14,3.5,JAMMU & KASHMIR
22-10-2013,05:40:43,05.2°N,96.0°E,40,5.3,"NORTHERN SUMATRA, INDONESIA"
21-10-2013,02:27:11,35.1°N,77.1°E,12,5.4,EASTERN KASHMIR
20-10-2013,19:45:05,35.8°N,77.5°E,80,5.5,INDIA (KASHMIR ) - CHINA BORDER  REGION
18-10-2013,13:18:22,28.4°N,66.6°E,10,5.5,PAKISTAN
16-10-2013,07:02:44,27.6°N,92.7°E,10,3.5,"WEST KAMENG, ARUNACHAL PRADESH"
16-10-2013,30:53.0,06.5°S,155.0°E,33,6.9,PAPUA NEW GUINEA
15-10-2013,00:12:32,10.0°N,124.0°E,10,7,"MINDANAO, PHILLIPPINES"
13-10-2013,01:17:53,36.4°N,70.7°E,194,5.3,"HINDU KUSH REGION, AFGHANISTAN"
13-10-2013,17:32:48,04.2°N,96.1°E,66,5.7,"NORTHERN SUMATRA,INDONESIA"
12-10-2013,13:11:51,35.5°N,23.3°E,30,6.5,"CRETE, GREECE"
11-10-2013,18:05:34,28.8°N,76.7°E,10,3.3,DISTT. - ROHTAK (HARYANA)
09-10-2013,05:25:20,27.1°N,92.5°E,10,3.4,"WEST KAMENG, ARUNACHAL PRADESH"
07-10-2013,20:54:03,26.3°N,92.5°E,10,3.7,"NAGAON, ASSAM"
03-10-2013,06:12:40,27.4°N,88.5°E,10,5,SIKKIM
01-10-2013,03:38:21,53.2°N,152.8°E,567,6.8,SEA OF OKHOTSK
30-09-2013,05:55:53,30.8°S,178.3°W,26,6.5,"KERMADEC ISLANDS, NEW  ZEALAND"
28-09-2013,07:34:10,27.2°N,65.9°E,20,6.8,PAKISTAN
26-09-2013,05:30:07,24.1°N,93.3°E,15,3.5,"DISTT.CHURACHANDPUR, MANIPUR"
26-09-2013,02:47:43,12.7°N,79.3°E,5,3.3,"DISTT. TIRUVANNAMALAI, TAMIL NADU"
25-09-2013,16:42:43,15.8°S,74.5°W,34,6.9,NEAR COAST OF PERU
25-09-2013,16:47:40,30.9°N,76.7°E,10,3,"RUPNAGAR,PUNJAB"
25-09-2013,19:28:02,26.0°N,90.5°E,15,3.9,ASSAM-MEGHALAYA (EAST GARO HILLS)BORDER REGION
24-09-2013,11:29:48,27.0°N,65.7°E,10,7.4,PAKISTAN
24-09-2013,13:01:41,27.4°N,65.8°E,14,5.5,PAKISTAN
23-09-2013,13:26:07,26.2°N,79.4°E,5,3.5,"JALAUN, UTTAR PRADESH"
22-09-2013,06:06:34,05.3°N,94.4°E,10,4.8,"NORTHERN SUMATRA, INDONESIA"
20-09-2013,12:24:45,23.3°N,96.3°E,10,5.3,MYANMAR
17-09-2013,23:11:34,07.5°N,93.6°E,65,4.5,NICOBAR ISLANDS
12-09-2013,09:21:19,27.1°N,92.5°E,10,3.5,"WEST KAMENG,  ARUNACHAL PRADESH"
11-09-2013,10:09:41,10.7°N,92.1°E,10,4.3,ANDAMAN ISLANDS REGION
09-09-2013,11:58:17,27.4°N,92.4°E,33,4.8,"WEST KAMENG, ARUNACHAL PRADESH"
09-09-2013,12:51:45,27.0°N,92.5°E,10,3.6,"WEST KAMENG, ARUNACHAL PRADESH"
08-09-2013,13:40:57,25.6°N,91.9°E,10,3.5,"EAST KHASI HILLS, MEGHALAYA"
08-09-2013,17:30:20,36.5°N,70.2°E,209,5.2,"HINDUKUSH,AFGHANISTAN"
07-09-2013,00:13:30,14.6°N,91.9°W,66,6.3,GUATEMALA
07-09-2013,03:24:56,25.3°N,94.9°E,90,4.8,MYANMAR-INDIA BORDER REGION
05-09-2013,16:40:11,17.3°N,73.9°E,10,4,"KOYNA REGION, MAHARASHTRA"
05-09-2013,18:11:28,33.3°N,75.7°E,10,4.5,"KISHTWAR,J&K"
05-09-2013,18:35:42,30.9°N,78.5°E,11,3.5,"DIST. - UTTARKASHI, UTTARAKHAND"
04-09-2013,00:18:24,30.0°N,138.9°E,425,6.5,"IZU ISLANDS, JAPAN REGION"
04-09-2013,02:32:34,51.5°N,174.7°W,40,6.5,"ALEUTIAN ISLANDS, ALASKA"
03-09-2013,08:06:18,33.2°N,75.8°E,10,4.4,"KISHATWAR,J&K"
01-09-2013,03:35:39,26.4°N,93.5°E,30,3,"KARBI ANGLONG,ASSAM"
01-09-2013,11:51:31,07.6°S,128.3°E,110,6.5,"KEPULAUAN BARAT DAYA, INDONESIA"
31-08-2013,00:04:20,28.3°N,99.3°E,20,5.6,"YUNNAN, CHINA"
31-08-2013,03:55:06,24.6°N,94.2°E,8,3.7,"DISTT. CHANDEL, MANIPUR"
31-08-2013,21:06:32,28.9°N,94.4°E,30,3,INDIA(ARUNACHAL PRADESH)-CHINA BORDER REGION
30-08-2013,16:25:02,51.6°N,175.3°W,30,7,"ALEUTIAN ISLANDS, ALASKA"
29-08-2013,10:13:21,31.4°N,76.1°E,10,4.7,PUNJAB(DISTT. HOSHIARPUR) -H.P BORDER REGION
26-08-2013,08:12:09,26.3°N,94.7°E,24,3.3,"TUENSANG, NAGALAND"
25-08-2013,04:00:08,01.5°N,96.6°E,18,5.2,OFF WEST COAST OF NORTHERN SUMATRA
21-08-2013,06:57:20,26.7°N,92.5°E,30,4.2,"SONITPUR, ASSAM"
21-08-2013,08:41:51,26.7°N,92.4°E,22,3.9,"SONITPUR, ASSAM"
21-08-2013,12:38:37,17.0°N,99.1°W,33,6.1,"GURRERO,MEXICO"
21-08-2013,13:09:25,26.1°N,92.9°E,33,3.2,"NAGAON, ASSAM"
18-08-2013,11:00:40,27.3°N,88.7°E,6,3,"EAST GANGTOK, SIKKIM"
18-08-2013,11:12:20,26.5°N,93.1°E,10,3.1,"KARBI ANGLONG (DIPHU), ASSAM"
18-08-2013,23:53:27,33.3°N,76.0°E,18,4.6,"KISHTWAR, JAMMU & KASHMIR"
17-08-2013,04:24:07,05.4°N,94.4°E,10,5,"NORTHERN SUMATRA, INDONESIA"
17-08-2013,14:41:14,11.4°N,93.3°E,10,4.8,ANDAMAN ISLANDS
17-08-2013,16:32:34,34.9°S,54.0°E,36,6,SOUTHWEST INDIAN RIDGE
16-08-2013,02:31:21,41.8°S,173.4°E,33,6.5,NEW ZEALAND
14-08-2013,07:37:34,33.4°N,76.0°E,15,3.3,"KISHTWAR , JAMMU & KASHMIR"
13-08-2013,15:43:15,05.8°N,78.0°W,10,6.7,SOUTH OF PANAMA
12-08-2013,00:53:43,07.2°S,129.7°E,90,6.3,BANDA SEA
12-08-2013,04:16:48,30.5°S,179.8°W,345,6,KERMADEC ISLANDS REGION
12-08-2013,09:49:30,05.4°S,81.9°W,10,6.2,NEAR COAST OF NORTHERN PERU
11-08-2013,08:24:16,24.9°N,91.9°E,20,3.6,BANGLADESH-INDIA(MEGHALAYA) BORDER REGION
11-08-2013,21:23:41,30.1°N,98.0°E,10,5.7,XIZANG
05-08-2013,07:27:06,27.0°N,70.7°E,20,4,"DISTT.JAISALMER, RAJASTHAN"
05-08-2013,13:57:47,33.3°N,75.9°E,27,4.4,"KISHTWAR, JAMMU & KASHMIR"
03-08-2013,09:31:04,33.5°N,75.8°E,10,3.3,"KISHTWAR , JAMMU & KASHMIR"
02-08-2013,02:32:50,33.5°N,75.5°E,28,5.4,JAMMU & KASHMIR
02-08-2013,12:04:22,24.2°N,94.8°E,15,5,MYANMAR - INDIA (MANIPUR) BORDER REGION
02-08-2013,21:37:40,33.4°N,75.9°E,20,5.2,"KISHTWAR,JAMMU AND KASHMIR"
02-08-2013,22:42:05,33.4°N,75.9°E,10,3.7,"KISHTWAR,JAMMU AND KASHMIR"
30-07-2013,18:09:13,33.0°N,75.1°E,5,3.8,"UDHAMPUR, JAMMU & KASHMIR"
29-07-2013,08:07:59,36.6°N,70.6°E,180,5.5,"HINDUKUSH ,AFGHANISTAN"
22-07-2013,07:01:42,46.1°S,34.6°E,10,6,PRINCE EDWARD ISLANDS REGION
22-07-2013,09:07:19,33.0°N,75.5°E,10,3.7,"UDHAMPUR, JAMMU & KASHMIR"
21-07-2013,05:09:37,41.8°S,173.8°E,10,6.4,"COOK STRAIT, NEW ZEALAND"
21-07-2013,23:45:56,34.5°N,104.2°E,10,6.2,"GANSU, CHINA"
18-07-2013,12:55:28,28.7°N,76.6°E,10,3,"JHAJJAR, HARYANA"
16-07-2013,23:41:17,05.5°N,98.0°E,10,5.4,"NORTHERN SUMATRA, INDONESIA"
15-07-2013,14:03:43,60.8°S,24.8°W,24,7,SOUTH SANDWICH ISLANDS
15-07-2013,17:49:11,32.6°N,76.7°E,30,4.4,"LAHUL & SPITI, HIMACHAL PRADESH"
13-07-2013,17:49:33,32.2°N,76.3°E,10,4.5,"KANGRA, H.P."
13-07-2013,19:27:05,28.3°N,94.9°E,10,3.5,"WEST SIANG, ARUNACHAL PRADESH"
12-07-2013,07:01:30,26.3°N,90.8°E,10,3.6,"GOALPARA, ASSAM"
12-07-2013,09:43:14,26.2°N,92.0°E,10,3.5,"MARIGAON, ASSAM"
11-07-2013,07:49:09,26.5°N,93.5°E,19,3.2,"KARBI ANGLONG, ASSAM"
11-07-2013,16:01:34,30.4°N,79.1°E,5,3.2,"UKHIMATH(DISTT RUDRAPRAYAG),UTTARAKHAND"
11-07-2013,18:48:11,28.8°N,95.9°E,10,4,"DIBANG VALLEY, ARUNACHAL PRADESH"
11-07-2013,19:39:49,33.2°N,75.7°E,10,3.9,"DODA, JAMMU & KASHMIR"
09-07-2013,13:49:13,32.9°N,78.4°E,10,5.1,"J&K,H.P BORDER REGION"
08-07-2013,03:44:25,24.1°N,91.4°E,10,4.2,WEST TRIPURA
07-07-2013,15:41:30,26.4°N,93.3°E,30,3.5,"KARBI ANGLONG (DIPHU SUB DIV.), ASSAM"
07-07-2013,18:35:29,03.9°S,153.9°E,372,7.3,"NEW IRELAND REGION, P.N.G."
07-07-2013,20:30:08,05.9°S,149.7°E,75,6.8,PAPUA NEW GUINEA
06-07-2013,05:05:05,03.2°S,100.6°E,10,6,"SOUTHERN SUMATRA, INDONESIA"
05-07-2013,19:58:34,30.6°N,77.8°E,9,3,"CHAKRATA (DEHRADUN), UTTARAKHAND"
04-07-2013,17:15:58,07.0°S,155.5°E,53,6.1,SOLOMON  ISLANDS
04-07-2013,23:42:06,25.1°N,93.8°E,10,3.8,MANIPUR- SENAPATI
03-07-2013,07:04:17,36.5°N,70.5°E,206,5.1,"HINDU KUSH REGION, AFGHANISTAN"
02-07-2013,07:37:27,04.7°N,96.7°E,30,5.9,"NORTHERN SUMATRA, INDONESIA"
02-07-2013,13:55:45,04.7°N,96.8°E,10,5.3,"NORTHERN SUMATRA, INDONESIA"
02-07-2013,15:36:46,04.7°N,97.0°E,18,5.2,"NORTHERN SUMATRA, INDONESIA"
30-06-2013,02:44:21,21.9°N,74.9°E,9,3.3,"BARWANI, MADHYA PRADESH"
28-06-2013,11:40:48,28.7°N,82.2°E,10,5,NEPAL
27-06-2013,06:20:57,30.1°N,80.4°E,4,3.5,"PITHORAGARH,UTTARAKHAND"
26-06-2013,05:48:47,09.6°N,91.2°E,10,5.2,"NICOBAR ISLANDS REGION, INDIA"
24-06-2013,22:04:12,10.7°N,42.5°W,22,6.4,NORTHERN MID-ATLANTIC RIDGE
21-06-2013,20:51:56,36.9°N,73.3°E,35,5,"HINDURAJ MOUNTAINS, PAKISTAN"
18-06-2013,00:57:54,24.1°N,91.2°E,15,3.5,BANGLADESH - INDIA (TRIPURA) BORDER REGION
16-06-2013,00:39:22,27.5°N,92.4°E,5,3.7,"WEST KAMENG, ARUNACHAL PRADESH"
16-06-2013,21:39:07,34.5°N,25.1°E,30,6,"CRETE,  GREECE"
15-06-2013,00:10:34,24.5°N,93.5°E,20,3.5,CHURACHANDPUR--MANIPUR
15-06-2013,16:10:59,34.5°N,25.0°E,10,6,"CRETE,GREECE"
15-06-2013,17:34:32,11.8°N,87.1°W,70,6.2,NEAR COAST OF NICARAGUA
13-06-2013,16:47:24,10.0°S,107.3°E,10,6.7,"SOUTH OF JAVA, INDONESIA"
06-06-2013,13:03:29,10.9°N,91.5°E,20,4.5,ANDAMAN ISLANDS REGION
05-06-2013,04:47:26,11.3°S,166.3°E,44,6.1,SOLOMON ISLANDS
05-06-2013,22:04:00,32.8°N,76.3°E,10,4.5,"CHAMBA, HIMACHAL PRADESH"
04-06-2013,17:34:44,32.7°N,76.7°E,10,4.8,"LAHUL AND SPITI , HIMACHAL PRADESH"
04-06-2013,23:56:28,32.4°N,76.0°E,30,3.7,"DISTT. CHAMBA, HIMACHAL PRADESH"
03-06-2013,06:40:45,24.2°N,91.4°E,10,3.4,BANGLADESH---INDIA(TRIPURA) BORDER REGION
02-06-2013,05:43:05,23.9°N,121.3°E,10,6.4,TAIWAN
01-06-2013,13:28:57,22.1°N,88.7°E,28,3.6,"SOUTH 24 PARGANAS, WEST BENGAL"
31-05-2013,04:52:16,27.4°N,92.7°E,18,3.8,"WEST KAMENG, ARUNACHAL PRADESH"
26-05-2013,05:55:22,26.6°N,92.2°E,10,3.2,"DARRANG, ASSAM"
26-05-2013,06:08:14,40.0°N,67.5°E,10,6.1,SOUTHEASTERN UZBEKISTAN
24-05-2013,05:44:49,54.9°N,153.2°E,620,8.2,SEA OF OKHOTSK
24-05-2013,11:10:50,24.3°S,175.0°W,17,6.1,SOUTH OF TONGA ISLANDS
24-05-2013,14:56:30,52.2°N,151.5°E,617,6.8,SEA OF OKHOTSK
23-05-2013,17:18:49,23.0°S,177.2°W,143,7.6,SOUTH OF FIJI ISLANDS
23-05-2013,21:07:46,20.5°S,175.6°W,153,6.5,TONGA ISLANDS REGION
21-05-2013,05:43:17,52.5°N,160.0°E,10,6,OFF EAST COAST OF KAMCHATKA
20-05-2013,17:18:10,36.5°N,70.5°E,190,5.3,"HINDU KUSH REGION, AFGHANISTAN"
18-05-2013,05:47:55,37.7°N,141.4°E,10,6.2,"NEAR EAST COAST OF HONSHU, JAPAN"
15-05-2013,12:05:41,33.3°N,75.9°E,15,3.8,"KISHTWAR, JAMMU & KASHMIR"
14-05-2013,00:32:25,18.8°N,145.3°E,595,6.7,NORTHERN MARIANA ISLANDS
14-05-2013,19:58:24,33.2°N,76.1°E,10,4.4,J & K - H.P  BORDER REGION
14-05-2013,20:00:07,33.4°N,75.8°E,10,4.8,"KISHTWAR, JAMMU & KASHMIR"
14-05-2013,20:40:49,24.1°N,92.3°E,10,3.8,NORTH TRIPURA
14-05-2013,21:01:42,33.3°N,75.9°E,10,3.8,"KISHTWAR, JAMMU & KASHMIR"
11-05-2013,20:46:34,17.8°S,175.1°W,250,6.3,TONGA ISLANDS
05-05-2013,04:39:38,33.0°N,75.6°E,12,3.5,"BHADARWAH (DODA DISTRICT), J&K"
03-05-2013,01:38:15,33.4°N,75.8°E,5,3.7,"KISHTWAR, JAMMU & KASHMIR"
02-05-2013,00:30:09,33.2°N,75.8°E,10,3.9,J&K -H.P BORDER REGION
01-05-2013,06:57:12,33.1°N,75.8°E,15,5.8,J&K-H.P BORDER REGION
01-05-2013,08:42:43,33.1°N,75.8°E,10,3.7,J&K-H.P BORDER REGION
01-05-2013,09:19:49,33.1°N,75.7°E,10,4.6,J&K-H.P BORDER REGION
30-04-2013,09:41:52,33.1°N,76.1°E,10,4.1,J&K - H.P. BORDER REGION
29-04-2013,00:57:05,29.0°N,77.2°E,5,3,"SONIPAT,HARYANA"
28-04-2013,18:28:13,29.5°N,81.2°E,5,4,NEPAL
27-04-2013,02:48:07,27.4°N,92.5°E,5,3.6,"WEST KAMENG, ARUNACHAL PRADESH"
27-04-2013,03:17:09,27.5°N,92.5°E,5,4,"WEST KAMENG, ARUNACHAL PRADESH"
27-04-2013,05:16:53,27.5°N,92.5°E,10,4.7,"WEST KAMENG, ARUNACHAL PRADESH"
25-04-2013,14:55:01,24.7°N,91.7°E,10,3.1,INDIA (TRIPURA )--BANGLADESH BORDER
25-04-2013,14:38:40,29.5°N,80.4°E,15,3.2,NEPAL-INDIA (UTTRAKHAND) BORDER REGION
25-04-2013,14:52:27,32.4°N,76.0°E,5,3,"DISTT. CHAMBA,HIMACHAL PRADESH"
24-04-2013,09:25:29,34.5°N,70.2°E,66,5.7,"HINDU KUSH REGION, AFGHANISTAN"
21-04-2013,03:22:16,29.9°N,138.9°E,422,6.2,"IZU ISLANDS, JAPAN"
21-04-2013,10:22:11,26.5°N,93.1°E,34,3.4,"NAGAON, ASSAM"
20-04-2013,00:02:48,30.2°N,103.0°E,29,6.6,"SICHUAN,CHINA"
20-04-2013,13:12:47,50.4°N,157.3°E,10,6.1,KURIL ISLANDS
20-04-2013,14:24:58,27.3°N,88.5°E,2,3.2,"GANGTOK, SIKKIM"
19-04-2013,03:05:51,46.2°N,150.8°E,97,7.3,KURIL ISLANDS
19-04-2013,19:58:40,50.0°N,157.5°E,10,6.1,KURIL ISLANDS
17-04-2013,03:01:37,33.0°N,76.5°E,10,3.9,"CHAMBA, HIMACHAL PRADESH"
16-04-2013,01:23:19,26.3°N,92.0°E,16,4.6,ASSAM-DARRANG
16-04-2013,08:34:09,29.0°N,95.0°E,10,5,INDIA (ARUNACHAL PRADESH) - CHINA BORDER REGION
